F275W-F475W F475W-F814W
1.569741875611049 1.0618201731148202
1.8057552734866156 1.1189793580972793
2.044070444571439 1.2944773620780126
2.309295153969747 1.08517907970489
3.639413603741804 0.8260672133637019
2.326478886810838 1.1276454211048526
2.338745617282631 1.1491373155006883
2.3853485147609086 1.1600931382650224
2.509993705762994 1.2708500447943774
2.5984181521350287 1.1571239417166241
2.726923169067752 1.1762358413233676
2.961573684867017 1.1071113261507914
3.240455805557895 1.0585773724347467
3.5096493451290702 0.982480807360087
3.802444810865488 1.0088702435649877
3.7103695979094535 0.9948632659046588
3.7977794144433887 0.9961325430373025
3.8422075326869196 1.023858212078041
3.9108121122778794 1.0493011533899423
3.87562272882283 1.076935336543329
3.905444504375093 1.1225650308749966
3.9955020134318957 1.169763342577145
4.035183636633404 1.3146312656279928
3.8809499124386333 1.5237691769331718
3.98127381674259 1.7844739558893004
4.036629359334452 1.846117842494106
3.842455227464418 1.6989671097139691
3.73217586890318 1.6114756272215605
3.839043578219729 1.4192319371101485
3.621005587737498 1.3888711955752493
3.8012895637737083 1.28130118558661
3.8110319651628357 1.2035125602864358
3.727725187443197 1.1647053885663263
3.4110870525132007 1.359858483749039
3.6224889179785316 1.14455316840822
3.550375348632575 1.1318424127894477
3.2331864402654364 1.2577407105864031
3.0459602604539118 1.2516100130319971
2.729066175725848 1.2665736763214976
2.4918735836252823 1.3157016199352976
2.3587609409131867 1.2588059121106712
2.225544873900625 1.2034397285756118
2.1083370258197043 1.189942186499712
1.9960342939863178 1.1990849467185196
1.9403932272534288 1.2185780155238417
1.8161197286022013 1.1400609714828454
1.6712201576946915 1.1286333236742028
1.5329391818511557 1.0781267770532343
1.3920385355742733 1.1032676435320452
1.2522697344459308 0.9654528512960701
